State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Lat,Long
Alabama,28.4,28.9,28.9,30.4,31,32.2,31.6,32.3,32,33,32.4,33.5,35.6,32.806671,-86.79113
Alaska,23.5,23.7,27.5,26.2,28.2,27.2,26.9,25.9,27.4,25.7,28.4,29.7,29.8,61.370716,-152.404419
Arizona,20.1,21.2,21.1,22.8,26,25.6,25.8,25.4,24.7,26,26.8,28.9,28.4,33.729759,-111.431221
Arkansas,25.2,26.1,28,26.9,29.4,29.5,30.1,30.6,30.9,34.5,34.6,35.9,34.5,34.969704,-92.373123
California,23.2,22.2,22.7,23.2,23.4,24.2,24.4,24.8,23.8,25,24.1,24.7,24.2,36.116203,-119.681564
Colorado,16,16.8,17.8,18.2,19.2,19.3,19.1,19.8,20.7,20.5,21.3,21.3,20.2,39.059811,-105.311104
Connecticut,19.1,19.7,20.1,20.5,21.8,21.6,21.4,21.8,24.5,25.6,25,26.3,25.3,41.597782,-72.755371
Deleware,24,21.1,23.5,26.2,28,27.7,27.9,28,28.8,26.9,31.1,30.7,29.7,39.318523,-75.507141
Washington DC,20.3,22.5,21.7,22.4,22.2,22.3,21.5,21.7,23.7,21.9,22.9,21.7,22.1,38.897438,-77.026817
Florida,19.9,22.9,22.8,23,24.1,25.2,25.1,26.1,26.6,25.2,26.4,26.2,26.8,27.766279,-81.686783
Georgia,25.2,24.7,26.5,27.1,28.9,27.7,28.1,28.7,28,29.1,30.3,30.5,30.7,33.040619,-83.643074
Hawaii,16.4,19.4,19.7,21.2,21.2,23,22.6,23.1,21.8,23.6,21.8,22.1,22.7,21.094318,-157.498337
Idaho,21.8,20.8,24.5,24.3,25,25.1,25.1,25.7,27,26.8,29.6,28.9,28.6,44.240459,-114.478828
Illinois,23.2,23,25,25.2,25.7,26.8,26.6,27.7,27.1,28.1,29.4,29.3,30.8,40.349457,-88.986137
Indiana,26,25.5,27.2,25.3,30,26.9,28.1,29.1,30.8,31.4,31.8,32.7,31.3,39.849426,-86.258278
Iowa,23.9,23.5,25.4,25.8,27.7,27.6,27.6,28.1,29,30.4,31.3,30.9,32.1,42.011539,-93.210526
Kansas,22.6,23.2,23.9,25.8,27.7,28.1,28.2,29,29.6,29.9,30,31.3,34.2,38.5266,-96.726486
Kentucy,25.6,25.8,28.6,28.1,28.5,30.4,30.5,31.5,30.4,31.3,33.2,31.6,34.6,37.66814,-84.670067
