Country Name,Country Code,Series Name,Series Code,GDP1985,GDP1990,GDP1995,GDP2000,GDP2005,GDP2010,GDP2015
Argentina,ARG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,10367.67441,9401.53383,12076.90947,12951.67552,13494.23819,16310.04866,16598.22909
Australia,AUS,GDP per capita (constant LCU),NY.GDP.PCAP.KN,39760.56606,44595.28511,47366.5892,55009.60685,60588.43431,64559.69226,68124.19524
Austria,AUT,GDP per capita (constant LCU),NY.GDP.PCAP.KN,22299.60785,25510.591,27504.6746,31668.29556,33579.96866,35228.17982,36054.71922
Bangladesh,BGD,GDP per capita (constant LCU),NY.GDP.PCAP.KN,19971.96264,21078.92387,23538.89216,26882.45075,31635.67945,40041.56479,51235.07629
Belize,BLZ,GDP per capita (constant LCU),NY.GDP.PCAP.KN,3573.002013,4993.815049,6001.799847,6728.929045,7610.871261,7620.744444,7698.786914
Benin,BEN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,288929.5521,272869.0878,280136.1129,308560.5219,317377.7938,329723.0919,362009.3661
Bhutan,BTN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,14406.82118,22690.12521,28506.65105,34980.91165,44350.42148,63078.4482,76455.49346
Bolivia,BOL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2228.431491,2252.418671,2494.793845,2680.76421,2852.502415,3285.460281,3968.034552
Botswana,BWA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,13735.72288,20550.68966,22488.80441,26290.30986,29262.20489,33288.94305,37746.59351
Brazil,BRA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,6073.267763,6180.335474,6642.526791,6821.305404,7357.481102,8689.728394,8719.289386
Brunei Darussalam,BRN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,58451.92682,50910.47254,51789.36038,49379.71846,49976.70794,47520.7347,43940.28186
Bulgaria,BGR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,5552.571556,6150.143922,5587.384219,5925.992598,8301.035155,10110.23651,11246.00491
Burkina Faso,BFA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,125980.7921,127831.2268,135234.3471,162812.0343,191723.8636,215125.441,241163.4
Burundi,BDI,GDP per capita (constant LCU),NY.GDP.PCAP.KN,231044.4724,235847.0044,186845.3722,160336.9525,152302.4401,159104.6026,153520.0055
Cabo Verde,CPV,GDP per capita (constant LCU),NY.GDP.PCAP.KN,66333.70321,73879.26747,107844.9773,169271.3097,206815.1688,265747.1324,274068.7443
Cameroon,CMR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,626139.3656,478092.0991,377834.3256,415149.7055,437613.2743,444699.8946,505303.6991
Canada,CAN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,35381.57326,37589.88417,38702.66796,44954.53522,48604.68962,48878.62395,51510.57656
Central African Republic,CAF,GDP per capita (constant LCU),NY.GDP.PCAP.KN,218501.087,195283.8011,180580.0038,172855.7979,173935.9425,186039.6002,121652.177
Chad,TCD,GDP per capita (constant LCU),NY.GDP.PCAP.KN,232111.2204,215590.748,202106.2586,192845.8056,348224.7397,373559.8226,396830.1272
Chile,CHL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2160367.923,2756647.546,3870876.15,4439634.354,5140999.567,5772480.598,6619252.188
China,CHN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,3647.098429,4947.548875,8310.924961,11995.22126,18538.47202,30876.03769,43989.90445
Colombia,COL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,5549246.073,6390669.144,7162053.101,7047848.95,7858403.652,9246876.303,11017982.15
Comoros,COM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,175909.6942,163976.837,147337.0116,151593.9958,150396.4111,144132.6061,144024.4916
"Congo, Dem. Rep.",ZAR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,280049.0154,239346.632,136154.2252,97893.83637,101089.533,112587.4699,139087.3503
"Congo, Rep.",COG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,371627.438,319300.4554,286299.4102,282323.5944,305787.5256,339866.6397,364033.0385
Costa Rica,CRI,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2493569.804,2817721.366,3242325.94,3574371.168,3989476.235,4703947.53,5299740.861
Cote d'Ivoire,CIV,GDP per capita (constant LCU),NY.GDP.PCAP.KN,775615.3216,686218.8452,623439.0984,634483.4965,577990.5952,580914.0775,703175.2038
Cuba,CUB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,3861.133975,3641.953705,2451.085865,3002.455451,3786.875329,4902.394975,..
Cyprus,CYP,GDP per capita (constant LCU),NY.GDP.PCAP.KN,10792.69974,14095.19795,16009.43973,18199.68502,20363.55512,20531.89719,18512.81034
Denmark,DNK,GDP per capita (constant LCU),NY.GDP.PCAP.KN,234717.762,250761.6513,276508.4774,314378.5995,331169.2074,324216.2539,326750.5896
Dominica,DMA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,8097.30038,11032.40892,11839.37534,13401.64899,14516.17476,16782.45535,16729.0011
Dominican Republic,DOM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,75831.62702,78735.44534,92512.9066,119045.6783,131225.5722,166280.4686,199884.6978
Ecuador,ECU,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2982.463696,3021.514501,3124.293829,2987.379595,3480.779866,3781.869422,4357.796712
"Egypt, Arab Rep.",EGY,GDP per capita (constant LCU),NY.GDP.PCAP.KN,10733.43893,11553.57984,12333.64974,14516.57462,15743.8194,19406.31483,19690.35217
El Salvador,SLV,GDP per capita (constant LCU),NY.GDP.PCAP.KN,880.9336321,914.094639,1159.240996,1295.803942,1422.298135,1503.070563,1632.753527
Equatorial Guinea,GNQ,GDP per capita (constant LCU),NY.GDP.PCAP.KN,275259.7678,233019.4783,398105.3214,2574034.201,7824115.551,9071931.221,7882274.098
Ethiopia,ETH,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2944.591238,3209.140623,2831.407009,3045.632185,3608.406731,5291.01134,7526.063401
Fiji,FJI,GDP per capita (constant LCU),NY.GDP.PCAP.KN,5444.854531,6140.831311,6553.290405,6956.516896,7741.310287,7663.466854,9127.276094
Finland,FIN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,21737.35661,25305.27345,24159.17647,30541.85022,34243.75002,34884.90034,34075.25666
France,FRA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,21471.40189,24611.44917,25781.54207,29086.00137,30441.00355,30732.8535,31358.0698
Gabon,GAB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,3475636.762,3208396.665,3272625.026,2924867.28,2849220.883,2687625.074,3103201.861
"Gambia, The",GMB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,12004.62701,11712.88968,11178.42375,12077.90657,11951.96482,12778.03263,12180.87481
Georgia,GEO,GDP per capita (constant LCU),NY.GDP.PCAP.KN,3401.201205,2563.949688,734.8636882,1045.196591,1569.813652,2153.642664,2913.382006
Germany,DEU,GDP per capita (constant LCU),NY.GDP.PCAP.KN,21223.47778,24415.96489,26262.40286,28690.51922,29423.58963,31549.97381,34283.27096
Ghana,GHA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,561.2551369,616.9134948,664.0051773,730.3958503,821.8971782,991.0829027,1270.891499
Greece,GRC,GDP per capita (constant LCU),NY.GDP.PCAP.KN,14125.05552,14635.74201,15032.58982,17574.00673,20913.62062,20324.11804,17042.92943
Greenland,GRL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,105487.9398,113417.2662,111771.2248,133764.9738,138112.2301,..,..
Grenada,GRD,GDP per capita (constant LCU),NY.GDP.PCAP.KN,8340.678831,12017.7087,12072.00782,15488.06239,19086.22354,17937.88129,20435.29136
Guatemala,GTM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,10238.95893,10477.167,11424.18469,12287.77483,12646.25387,13539.93023,14728.52677
Guinea-Bissau,GNB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,234929.3399,252643.9671,264127.4452,215808.2184,211592.4156,222683.0747,229521.7063
Guyana,GUY,GDP per capita (constant LCU),NY.GDP.PCAP.KN,244959.9391,230925.6723,322514.5853,361214.2994,374033.6893,456089.9023,557145.9463
Haiti,HTI,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,1536.758632,1379.996431,1327.050826,1458.304761
Honduras,HND,GDP per capita (constant LCU),NY.GDP.PCAP.KN,15613.70152,15742.06747,16427.23899,17083.58695,19459.61887,21299.36866,23502.68605
"Hong Kong SAR, China",HKG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,115095.1211,159756.508,191642.436,201465.4164,242367.7567,284919.4214,316635.3669
Hungary,HUN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,1853427.647,2170896.997,2712150.581,2708583.77,3018598.996
